131901055,ME3070,81
131901054,ME3070,58
131901053,ME3070,78
131901052,ME3070,65
131901051,ME3070,42
131901050,ME3070,60
131901049,ME3070,18
131901048,ME3070,95
131901046,ME3070,89
131901045,ME3070,98
131901044,ME3070,36
131901042,ME3070,14
131901041,ME3070,74
131901040,ME3070,90
131901038,ME3070,71
131901036,ME3070,51
131901033,ME3070,69
131901031,ME3070,61
131901030,ME3070,82
131901029,ME3070,91
131901028,ME3070,43
131901027,ME3070,95
131901026,ME3070,50
131901024,ME3070,2
131901023,ME3070,55
131901019,ME3070,88
131901016,ME3070,98
131901015,ME3070,92
131901008,ME3070,51
131901007,ME3070,75
131901005,ME3070,69
131901004,ME3070,95
131901003,ME3070,98
131901002,ME3070,80
131801055,ME3070,84
131801054,ME3070,89
131801053,ME3070,54
131801052,ME3070,69
131801051,ME3070,88
131801050,ME3070,54
131801045,ME3070,2
131801044,ME3070,97
131801042,ME3070,9
131801039,ME3070,62
131801037,ME3070,98
131801036,ME3070,98
131801035,ME3070,26
131801034,ME3070,74
131801033,ME3070,70
131801029,ME3070,0
131801028,ME3070,23
131801027,ME3070,98
131801025,ME3070,18
131801020,ME3070,46
131801018,ME3070,3
131801017,ME3070,90
131801015,ME3070,44
131801014,ME3070,44
131801013,ME3070,81
131801012,ME3070,71
131801011,ME3070,60
131801010,ME3070,83
131801009,ME3070,16
131801008,ME3070,79
131801005,ME3070,77
131801004,ME3070,73
131701055,ME3070,17
131701054,ME3070,87
131701053,ME3070,80
131701052,ME3070,0
131701050,ME3070,0
131701049,ME3070,4
131701048,ME3070,51
131701047,ME3070,83
131701046,ME3070,89
131701042,ME3070,36
131701041,ME3070,48
131701040,ME3070,74
131701037,ME3070,63
131701036,ME3070,44
131701033,ME3070,4
131701032,ME3070,54
131701031,ME3070,62
131701029,ME3070,92
131701028,ME3070,39
131701027,ME3070,93
131701025,ME3070,2
131701024,ME3070,100
131701023,ME3070,54
131701022,ME3070,96
131701021,ME3070,59
131701020,ME3070,46
131701016,ME3070,34
131701013,ME3070,25
131701012,ME3070,4
131701010,ME3070,92
131701009,ME3070,63
131701007,ME3070,48
131701006,ME3070,66
131701005,ME3070,33
131701003,ME3070,79
131701002,ME3070,1
